subset|auc|average_precision|tn|fp|fn|tp|accuracy|precision|recall|f1_score
overall|0.607|0.5436478572485676|45|105|12|128|0.596551724137931|0.5493562231759657|0.9142857142857143|0.6863270777479893
Abuse|nan|1.0|0|0|0|2|1.0|1.0|1.0|1.0
Arrest|nan|1.0|0|0|0|5|1.0|1.0|1.0|1.0
Arson|nan|1.0|0|0|1|8|0.8888888888888888|1.0|0.8888888888888888|0.9411764705882353
Assault|nan|1.0|0|0|0|3|1.0|1.0|1.0|1.0
Burglary|nan|1.0|0|0|2|11|0.8461538461538461|1.0|0.8461538461538461|0.9166666666666666
Explosion|nan|1.0|0|0|0|21|1.0|1.0|1.0|1.0
Fighting|nan|1.0|0|0|0|5|1.0|1.0|1.0|1.0
Normal_Videos|nan|0.0|45|105|0|0|0.3|0.0|0.0|0.0
RoadAccidents|nan|1.0|0|0|2|21|0.9130434782608695|1.0|0.9130434782608695|0.9545454545454546
Robbery|nan|1.0|0|0|0|5|1.0|1.0|1.0|1.0
Shooting|nan|1.0|0|0|3|20|0.8695652173913043|1.0|0.8695652173913043|0.9302325581395349
Shoplifting|nan|1.0|0|0|4|17|0.8095238095238095|1.0|0.8095238095238095|0.8947368421052632
Stealing|nan|1.0|0|0|0|5|1.0|1.0|1.0|1.0
Vandalism|nan|1.0|0|0|0|5|1.0|1.0|1.0|1.0
